Annee;Reference_SMIC €;;;;;;;;;;;;;
1963;30.49;;;;;;;;;;;;;
1964;34.3;;;;;;;;;;;;;
1965;38.11;;;;;;;;;;;;;
1966;43.83;;;;;;;;;;;;;
1967;49.55;;;;;;;;;;;;;
1968;55.26;;;;;;;;;;;;;
1969;59.07;;;;;;;;;;;;;
1970;62.89;;;;;;;;;;;;;
1971;66.7;;;;;;;;;;;;;
1972;120.13;;;;;;;;;;;;;
1973;138.73;;;;;;;;;;;;;
1974;165.56;;;;;;;;;;;;;
1975;205.81;;;;;;;;;;;;;
1976;240.56;;;;;;;;;;;;;
1977;272.58;;;;;;;;;;;;;
1978;306.73;;;;;;;;;;;;;
1979;344.84;;;;;;;;;;;;;
1980;394;;;;;;;;;;;;;
1981;451;;;;;;;;;;;;;
1982;553;;;;;;;;;;;;;
1983;619;;;;;;;;;;;;;s
1984;695;;;;;;;;;;;;;
1985;743;;;;;;;;;;;;;
1986;794;;;;;;;;;;;;;
1987;821;;;;;;;;;;;;;
1988;849;;;;;;;;;;;;;
1989;877;;;;;;;;;;;;;
1990;912;;;;;;;;;;;;;
1991;974;;;;;;;;;;;;;
1992;996;;;;;;;;;;;;;
1993;1 038,00;;;;;;;;;;;;;
1994;1 062,00;;;;;;;;;;;;;
1995;1 084,00;;;;;;;;;;;;;
1996;1 128,00;;;;;;;;;;;;;
1997;1 156,00;;;;;;;;;;;;;
1998;1 202,00;;;;;;;;;;;;;
1999;1 226,00;;;;;;;;;;;;;
2000;1 242,00;;;;;;;;;;;;;
2001;1 281,00;;;;;;;;;;;;;
2002;1 334,00;;;;;;;;;;;;;
2003;1 366,00;;;;;;;;;;;;;
2004;1 438,00;;;;;;;;;;;;;
2005;1 522,00;;;;;;;;;;;;;
2006;1 606,00;;;;;;;;;;;;;
2007;1 654,00;;;;;;;;;;;;;
2008;1 688,00;;;;;;;;;;;;;
2009;1 742,00;;;;;;;;;;;;;
2010;1 772,00;;;;;;;;;;;;;
2011;1 800,00;;;;;;;;;;;;;
2012;1 844,00;;;;;;;;;;;;;
2013;1 886,00;;;;;;;;;;;;;
2014;1429.5;;;;;;;;;;;;;
2015;1441.5;;;;;;;;;;;;;
2016;1450.5;;;;;;;;;;;;;
2017;1 464,00;;;;;;;;;;;;;
2018;1 482,00;;;;;;;;;;;;;
2019;1504.5;;;;;;;;;;;;;
2020;1522.5;;;;;;;;;;;;;
2021;1537.5;;;;;;;;;;;;;
2022;1585.5;;;;;;;;;;;;;
2023;1690.5;;;;;;;;;;;;;
2024;1747.5;;;;;;;;;;;;;
2025;1782;;;;;;;;;;;;;
2026;1782;;;;;;;;;;;;;
2027;1782;;;;;;;;;;;;;
2028;1782;;;;;;;;;;;;;
2029;1782;;;;;;;;;;;;;
2030;1782;;;;;;;;;;;;;
2031;1782;;;;;;;;;;;;;
2032;1782;;;;;;;;;;;;;
2033;1782;;;;;;;;;;;;;
2034;1782;;;;;;;;;;;;;
2035;1782;;;;;;;;;;;;;
2036;1782;;;;;;;;;;;;;
2037;1782;;;;;;;;;;;;;
2038;1782;;;;;;;;;;;;;
2039;1782;;;;;;;;;;;;;
2040;1782;;;;;;;;;;;;;
2041;1782;;;;;;;;;;;;;
2042;1782;;;;;;;;;;;;;
2043;1782;;;;;;;;;;;;;
2044;1782;;;;;;;;;;;;;
2045;1782;;;;;;;;;;;;;
2046;1782;;;;;;;;;;;;;
2047;1782;;;;;;;;;;;;;
2048;1782;;;;;;;;;;;;;
2049;1782;;;;;;;;;;;;;
2050;1782;;;;;;;;;;;;;
2051;1782;;;;;;;;;;;;;
2052;1782;;;;;;;;;;;;;
2053;1782;;;;;;;;;;;;;
2054;1782;;;;;;;;;;;;;
2055;1782;;;;;;;;;;;;;
2056;1782;;;;;;;;;;;;;
2057;1782;;;;;;;;;;;;;
2058;1782;;;;;;;;;;;;;
2059;1782;;;;;;;;;;;;;
2060;1782;;;;;;;;;;;;;
2061;1782;;;;;;;;;;;;;
2062;1782;;;;;;;;;;;;;
2063;1782;;;;;;;;;;;;;
2064;1782;;;;;;;;;;;;;
2065;1782;;;;;;;;;;;;;
2066;1782;;;;;;;;;;;;;
2067;1782;;;;;;;;;;;;;
2068;1782;;;;;;;;;;;;;
2069;1782;;;;;;;;;;;;;
2070;1782;;;;;;;;;;;;;
2071;1782;;;;;;;;;;;;;
2072;1782;;;;;;;;;;;;;
2073;1782;;;;;;;;;;;;;
2074;1782;;;;;;;;;;;;;
2075;1782;;;;;;;;;;;;;
2076;1782;;;;;;;;;;;;;
2077;1782;;;;;;;;;;;;;
2078;1782;;;;;;;;;;;;;
2079;1782;;;;;;;;;;;;;
2080;1782;;;;;;;;;;;;;
2081;1782;;;;;;;;;;;;;
2082;1782;;;;;;;;;;;;;
2083;1782;;;;;;;;;;;;;
2084;1782;;;;;;;;;;;;;
2085;1782;;;;;;;;;;;;;
2086;1782;;;;;;;;;;;;;
